course,respondents,Employed,Employed And Further Studies,Further Studies,Resigned,Unemployed,Vacation,Vocational
AB Hum,28,20,4,2,0,0,2,0
AB IS,45,31,3,5,0,2,4,0
AB Lit (Eng),12,7,2,1,0,1,1,0
AB Lit (Fil),0,0,0,0,0,0,0,0
AB-MA Lit (Fil),0,0,0,0,0,0,0,0
AB Ph,9,5,1,2,0,1,0,0
AB Ph (Pre-Div),4,2,2,0,0,0,0,0
AB Pre-Div,0,0,0,0,0,0,0,0
BFA AM,3,2,0,1,0,0,0,0
BFA CW,3,2,0,0,0,0,1,0
BFA ID,22,17,1,2,0,2,0,0
BFA TA,0,0,0,0,0,0,0,0
BS ME,87,70,8,4,1,3,1,0
BS Mgt-H,6,5,0,1,0,0,0,0
BS Mgt ,131,101,9,10,3,5,3,0
BS Comtech,100,86,7,1,4,1,1,0
BS ITE,0,0,0,0,0,0,0,0
BS LM,60,37,4,16,2,1,0,0
BS MAC,25,22,1,2,0,0,0,0
BS Bio,30,4,2,22,0,2,0,0
BS Ch,6,0,3,3,0,0,0,0
BS Ch-ACS,3,2,1,0,0,0,0,0
BS Ch-MSE,8,4,1,3,0,0,0,0
BS-MS Ch,0,0,0,0,0,0,0,0
BS CoE,16,13,0,3,0,0,0,0
BS ECE,21,12,0,7,0,0,2,0
BS ES,8,7,1,0,0,0,0,0
BS HS,24,3,0,20,0,1,0,0
BS LfSci,0,0,0,0,0,0,0,0
BS CS,30,28,0,1,0,0,1,0
BS-MS CS,0,0,0,0,0,0,0,0
BS MIS,53,48,2,3,0,0,0,0
BS MIS-MS CS,0,0,0,0,0,0,0,0
BS Math,2,1,0,1,0,0,0,0
BSM AMC,5,5,0,0,0,0,0,0
BSM AMF,31,19,4,5,0,2,1,0
BS Aps-ACS,0,0,0,0,0,0,0,0
BS Ps,10,1,2,7,0,0,0,0
BS Ps-ACS,0,0,0,0,0,0,0,0
BS Ps-MSE,3,1,2,0,0,0,0,0
BS-MS Ps,0,0,0,0,0,0,0,0
AB ChnS,0,0,0,0,0,0,0,0
AB ChnS (Business Track),0,0,0,0,0,0,0,0
AB Com,57,46,1,6,1,1,2,0
AB DS,15,12,0,1,1,1,0,0
AB Ec-H,8,6,0,1,0,0,1,0
AB Ec ,25,19,3,0,2,1,0,0
AB Mec,82,71,0,7,2,1,1,0
AB Eu,51,41,1,5,1,2,1,0
AB His,3,2,0,1,0,0,0,0
AB Pos,20,5,1,14,0,0,0,0
AB-MA Pos,0,0,0,0,0,0,0,0
AB Pos (Masters in Pub. Mgt.),0,0,0,0,0,0,0,0
AB Psy,38,31,5,0,1,0,1,0
BS Psy,33,13,2,18,0,0,0,0
AB Sos,7,3,2,2,0,0,0,0
Unspecified Courses,0,0,0,0,0,0,0,0
