course,respondents,Employed,Employed And Further Studies,Further Studies,Resigned,Unemployed,Vacation,Vocational
AB Humanities,209,23,5,50,30,45,13,43
AB Interdisciplinary Studies,239,12,8,39,48,47,36,49
AB Lit. (Eng.),197,41,6,21,28,37,18,46
AB Philo.,179,36,16,7,38,27,35,20
AB Philo (Pre-Divinity),201,35,17,24,39,9,44,33
BFA Art Management,135,12,11,25,43,26,11,7
BFA Creative Writing,156,39,36,17,24,8,11,21
BFA Information Design,221,41,31,36,24,1,44,44
BS Communications Technology Management,153,20,48,12,13,49,2,9
BS Information Technology Entrepreneurship,198,45,4,15,38,45,28,23
BS Legal Management,185,10,33,32,19,43,8,40
BS Management (Standard Program),256,43,35,30,49,32,42,25
BS Management (Honors),211,36,36,38,23,5,23,50
BS Management of Applied Chemistry,192,19,21,36,47,27,9,33
BS Management Engineering,169,1,23,28,22,49,8,38
BS Applied Physics with Applied Computer Systems,110,1,2,15,8,12,32,40
BS Biology,207,23,47,21,19,31,44,22
BS Chemistry with Materials Science Engineering,205,28,2,15,31,44,42,43
BS Computer Engineering,150,19,18,2,9,31,40,31
BS Computer Science,201,14,25,39,39,28,41,15
BS Electronics Engineering,180,30,37,41,3,46,8,15
BS Environmental Science,131,32,26,13,4,8,5,43
BS Health Sciences,242,7,46,49,49,36,44,11
BS Life Sciences,194,11,21,44,48,18,42,10
BS Mathematics,185,28,47,29,8,24,17,32
BS Management Information Systems,181,32,18,40,12,25,26,28
BS Physics with Materials and Science Engineering,174,14,34,23,38,29,10,26
"BSM Applied Mathematics, Major in Mathematical Finance",237,10,32,44,43,50,14,44
BS-MS Chemistry,259,48,46,42,41,22,42,18
AB Chinese Studies,203,28,13,28,45,40,17,32
AB Chinese Studies - Business Track,223,28,35,23,45,23,29,40
AB Development Studies,196,6,37,31,28,37,21,36
AB Economics,243,43,17,16,50,48,34,35
AB Economics (Honors),221,46,45,50,15,8,23,34
AB European Studies,152,5,47,46,41,4,6,3
AB Management Economics,212,7,34,39,39,42,25,26
AB History,149,28,23,5,43,11,6,33
AB Political Science,212,36,20,26,42,32,11,45
AB Psychology,194,35,35,8,26,41,27,22
BS Psychology,247,24,31,46,45,25,28,48
AB Social Sciences,212,4,50,33,29,45,41,10
AB-MA Political Science,239,46,47,42,24,28,41,11
AB Political Science - Masters in Public Management,148,11,33,12,36,4,6,46
Unspecified Courses,123,25,20,7,42,10,13,6
