course,respondents,employed,furtherstudies,unemployed,vacation,vocational
AB Humanities,42,0.33,0.02,0.10,0.00,0.00
AB Interdisciplinary Studies,5,0.40,0.60,0.00,0.00,0.00
AB Lit. (Eng.),0,0.00,0.00,0.00,0.00,0.00
AB Philo.,22,0.55,0.00,0.00,0.00,0.00
AB Philo (Pre-Divinity),20,0.90,0.00,0.05,0.00,0.00
BFA Art Management,15,0.00,0.07,0.00,0.00,0.00
BFA Creative Writing,12,0.83,0.00,0.00,0.00,0.00
BFA Information Design,35,0.97,0.03,0.00,0.00,0.00
BS Communications Technology Management,36,0.53,0.00,0.17,0.00,0.00
BS Information Technology Entrepreneurship,16,0.06,0.63,0.00,0.00,0.00
BS Legal Management,36,0.61,0.06,0.14,0.03,0.00
BS Managemet (Standard Program),38,0.95,0.03,0.03,0.00,0.00
BS Management (Honors),17,0.76,0.18,0.06,0.00,0.00
BS Management of Applied Chemistry,16,0.06,0.13,0.00,0.13,0.00
BS Management Engineering,13,0.23,0.00,0.00,0.00,0.00
BS Applied Physics with Applied Computer Systems,7,0.14,0.29,0.14,0.00,0.00
BS Biology,35,0.43,0.03,0.00,0.03,0.00
BS Chemistry with Materials Science Engineering,32,0.47,0.16,0.03,0.00,0.00
BS Computer Engineering,2,1.00,0.00,0.00,0.00,0.00
BS Computer Science,14,0.71,0.00,0.00,0.00,0.00
BS Electronics Engineering,23,0.13,0.22,0.00,0.00,0.00
BS Environmental Science,2,0.50,0.50,0.00,0.00,0.00
BS Health Sciences,20,0.15,0.00,0.00,0.00,0.00
BS Life Sciences,13,0.85,0.08,0.00,0.00,0.00
BS Mathematics,41,0.49,0.02,0.00,0.15,0.00
BS Management Information Systems,27,0.89,0.00,0.00,0.00,0.00
BS Physics with Materials and Science Engineering,22,0.82,0.09,0.00,0.00,0.00
"BSM Applied Mathematics, Major in Mathematical Finance",11,1.00,0.00,0.00,0.00,0.00
BS-MS Chemistry,9,0.00,0.44,0.11,0.00,0.00
AB Chinese Studies,27,0.85,0.00,0.00,0.00,0.00
AB Chinese Studies - Business Track,33,0.48,0.06,0.03,0.09,0.00
AB Development Studies,13,0.31,0.08,0.08,0.08,0.00
AB Economics,2,1.00,0.00,0.00,0.00,0.00
AB Economics (Honors),9,0.00,0.11,0.00,0.00,0.00
AB European Studies,3,0.00,0.67,0.00,0.00,0.00
AB Management Economics,11,1.00,0.00,0.00,0.00,0.00
AB History,5,0.40,0.00,0.00,0.00,0.00
AB Political Science,9,0.78,0.00,0.00,0.00,0.00
AB Psychology,7,0.43,0.00,0.00,0.14,0.00
BS Psychology,28,0.61,0.11,0.00,0.00,0.00
AB Social Sciences,17,0.41,0.06,0.00,0.00,0.00
AB-MA Political Science,43,0.91,0.02,0.00,0.00,0.00
AB Political Science - Masters in Public Management,7,0.86,0.00,0.00,0.00,0.00
Unspecified Courses,8,0.50,0.50,0.00,0.00,0.00
All Courses,803,0.57,0.08,0.03,0.02,0.00
