course,respondents,employed,furtherstudies,unemployed,vacation,vocational
AB Humanities,28,0.32,0.00,0.00,0.00,0.00
AB Interdisciplinary Studies,20,1.00,0.00,0.00,0.00,0.00
AB Lit. (Eng.),44,0.80,0.00,0.00,0.00,0.00
AB Philo.,12,0.92,0.00,0.00,0.00,0.00
AB Philo (Pre-Divinity),34,0.12,0.18,0.00,0.00,0.00
BFA Art Management,4,0.25,0.50,0.00,0.25,0.00
BFA Creative Writing,9,0.44,0.00,0.00,0.00,0.00
BFA Information Design,31,0.71,0.00,0.00,0.00,0.00
BS Communications Technology Management,16,0.00,0.38,0.06,0.00,0.00
BS Information Technology Entrepreneurship,11,0.45,0.27,0.00,0.09,0.00
BS Legal Management,6,0.83,0.17,0.00,0.00,0.00
BS Managemet (Standard Program),22,0.91,0.00,0.05,0.00,0.00
BS Management (Honors),4,0.25,0.00,0.00,0.00,0.00
BS Management of Applied Chemistry,30,0.00,0.00,0.00,0.00,0.00
BS Management Engineering,25,0.64,0.28,0.04,0.00,0.00
BS Applied Physics with Applied Computer Systems,5,0.20,0.00,0.80,0.00,0.00
BS Biology,39,0.62,0.00,0.00,0.03,0.00
BS Chemistry with Materials Science Engineering,31,1.00,0.00,0.00,0.00,0.00
BS Computer Engineering,35,0.54,0.34,0.00,0.00,0.00
BS Computer Science,11,0.09,0.36,0.18,0.36,0.00
BS Electronics Engineering,38,0.21,0.24,0.05,0.03,0.00
BS Environmental Science,5,0.60,0.00,0.20,0.00,0.00
BS Health Sciences,23,0.91,0.00,0.00,0.00,0.00
BS Life Sciences,24,0.42,0.13,0.00,0.13,0.00
BS Mathematics,23,0.22,0.30,0.00,0.04,0.00
BS Management Information Systems,0,0.00,0.00,0.00,0.00,0.00
BS Physics with Materials and Science Engineering,0,0.00,0.00,0.00,0.00,0.00
"BSM Applied Mathematics, Major in Mathematical Finance",44,0.00,0.27,0.05,0.05,0.00
BS-MS Chemistry,9,0.44,0.00,0.56,0.00,0.00
AB Chinese Studies,30,0.73,0.00,0.00,0.00,0.00
AB Chinese Studies - Business Track,32,1.00,0.00,0.00,0.00,0.00
AB Development Studies,44,0.59,0.30,0.02,0.05,0.00
AB Economics,28,0.07,0.07,0.11,0.14,0.00
AB Economics (Honors),30,0.63,0.07,0.00,0.00,0.00
AB European Studies,40,0.08,0.15,0.15,0.05,0.00
AB Management Economics,42,0.88,0.00,0.00,0.00,0.00
AB History,27,0.96,0.04,0.00,0.00,0.00
AB Political Science,32,0.19,0.06,0.06,0.13,0.00
AB Psychology,22,0.59,0.00,0.32,0.00,0.00
BS Psychology,3,1.00,0.00,0.00,0.00,0.00
AB Social Sciences,35,0.17,0.00,0.00,0.00,0.00
AB-MA Political Science,14,1.00,0.00,0.00,0.00,0.00
AB Political Science - Masters in Public Management,12,0.17,0.75,0.00,0.00,0.00
Unspecified Courses,38,0.21,0.63,0.00,0.16,0.00
All Courses,1012,0.49,0.13,0.04,0.03,0.00
